사업장명,소재지전체주소
마곡엠밸리10단지아파트경로당,서울특별시 강서구 마곡동 
마곡엠밸리1단지 경로당,서울특별시 강서구 마곡동 
해태경로당,서울특별시 강서구 화곡동 
마곡엠밸리5단지(아)경로당,서울특별시 강서구 마곡동 
강서쌍용예가아파트경로당,서울특별시 강서구 염창동 
마곡힐스테이트경로당,서울특별시 강서구 마곡동 
마곡엠밸리15단지(아)경로당,서울특별시 강서구 마곡동 
마곡엠밸리2단지아파트경로당,서울특별시 강서구 마곡동 
능안경로당,서울특별시 강서구 등촌동 517-1번지 
방화동부 경로당,서울특별시 강서구 방화동 168-87번지 
등촌 경로당,서울특별시 강서구 등촌동 
방화 경로당,서울특별시 강서구 방화동 648-23번지 
우신할아버지경로당,서울특별시 강서구 화곡동 산70-1번지 
방화11단지복지관(장수)경로당,서울특별시 강서구 방화동 851번지 
까치산경로당,서울특별시 강서구 화곡동 359-126번지 
신안9차아파트경로당,서울특별시 강서구 방화동 481번지 
내촌경로당,서울특별시 강서구 개화동 551-34번지 
동부경로당,서울특별시 강서구 공항동 41-68번지 
우신할머니경로당,서울특별시 강서구 화곡동 산 70-1번지 
우신할아버지경로당,서울특별시 강서구 화곡동 산 70-1번지 
긴등 경로당,서울특별시 강서구 공항동 4-85번지 
치현 경로당,서울특별시 강서구 방화동 823-1번지 
외발산 경로당,서울특별시 강서구 외발산동 177-1번지 
공항경로당,서울특별시 강서구 공항동 51-50번지 
염창경로당,서울특별시 강서구 염창동 183번지 
가양7종합사회복지관(정우) 경로당,서울특별시 강서구 가양동 1486번지 
푸르뫼아파트경로당,서울특별시 강서구 방화동 859번지 
가양중앙하이츠아파트경로당,서울특별시 강서구 가양동 1467번지 
두보빌라경로당,서울특별시 강서구 등촌동 515-44번지 
가양우성아파트경로당,서울특별시 강서구 가양동 14-3번지 
가양우성(아)경로당,서울특별시 강서구 가양동 14-3번지 
원당 경로당,서울특별시 강서구 내발산동 658번지 
수명 경로당,서울특별시 강서구 화곡동 1044-31번지 
장미(방화1단지)경로당,서울특별시 강서구 방화동 841번지 방화1단지아파트 
화친경로당,서울특별시 강서구 화곡동 792-9번지 
한미(아)경로당,서울특별시 강서구 방화동 286-5번지 
화곡일심 경로당,서울특별시 강서구 화곡동 878-3번지 
곰달래 경로당,서울특별시 강서구 화곡동 922-10번지 
우장산 경로당,서울특별시 강서구 화곡동 994-6번지 
가양경로당,서울특별시 강서구 가양동 200-4번지 
화곡본동경로당,서울특별시 강서구 화곡동 98-22번지 
미성아파트경로당,서울특별시 강서구 화곡동 409-248번지 
안골경로당,서울특별시 강서구 화곡동 155-1번지 
중앙하이츠,서울특별시 강서구 화곡동 351-89번지 
중앙경로당,서울특별시 강서구 화곡동 
복종경로당,서울특별시 강서구 방화동 494-3번지 
성재정경로당,서울특별시 강서구 가양동 175-3번지 
봉바위경로당,서울특별시 강서구 화곡동 1061-36번지 
거성 경로당,서울특별시 강서구 화곡동 50-120번지 
일심 경로당,서울특별시 강서구 방화동 217-159번지 
약수경로당,서울특별시 강서구 화곡동 409-84번지 
푸른 경로당,서울특별시 강서구 화곡동 1016-34번지 
염창현대1차(아)경로당,서울특별시 강서구 염창동 288번지 
염창우성2차아파트경로당,서울특별시 강서구 염창동 287-1번지 
개화아파트 경로당,서울특별시 강서구 방화동 819번지 
동성아파트경로당,서울특별시 강서구 방화동 817번지 
대림경동아파트경로당,서울특별시 강서구 가양동 1474번지 대림경동아파트 
마곡신안아파트경로당,서울특별시 강서구 마곡동 422번지 
공원경로당,서울특별시 강서구 화곡동 379-32번지 
화촌 경로당,서울특별시 강서구 화곡동 105-382번지 
강변경로당,서울특별시 강서구 가양동 1474번지 
하마터 경로당,서울특별시 강서구 화곡동 883-03번지 
가양9-2단지아파트 경로당,서울특별시 강서구 가양동 1490번지 
한강타운아파트경로당,서울특별시 강서구 가양동 1460번지 
화곡대림아파트 경로당,서울특별시 강서구 화곡동 361-1번지 
가양5종합사회복지관 경로당,서울특별시 강서구 가양동 1481번지 
가양6단지APT경로당,서울특별시 강서구 가양동 1485번지 
가양2단지아파트경로당,서울특별시 강서구 가양동 1461번지 
가양9-1단지아파트경로당,서울특별시 강서구 가양동 1489번지 
가양4단지경로당,서울특별시 강서구 가양동 1478번지 
가양1단지(아)경로당,서울특별시 강서구 가양동 1459번지 
가양2단지(아)경로당,서울특별시 강서구 가양동 1461번지 
신광명경로당,서울특별시 강서구 외발산동 221-1번지 
두보경로당,서울특별시 강서구 등촌동 515-44번지 1 1동 201호
등촌3주공아파트경로당,서울특별시 강서구 등촌동 
우성3차아파트경로당,서울특별시 강서구 염창동 272-28번지 
동성아파트경로당,서울특별시 강서구 등촌동 691-1번지 
대림APT 경로당,서울특별시 강서구 등촌동 694번지 
신동아(아)경로당,서울특별시 강서구 염창동 289번지 
등촌2주공아파트경로당,서울특별시 강서구 등촌동 688번지 
상록수아파트경로당,서울특별시 강서구 방화동 839번지 
태진아름경로당,서울특별시 강서구 등촌동 
신동아아파트경로당,서울특별시 강서구 방화동 797번지 
미주진로아파트 경로당,서울특별시 강서구 등촌동 
주공8단지(아)경로당,서울특별시 강서구 등촌동 707번지 
방화5단지(아)경로당,서울특별시 강서구 방화동 814번지 
방화6종합사회복지관경로당,서울특별시 강서구 방화동 816번지 
삼익삼환아파트경로당,서울특별시 강서구 방화동 831번지 
등촌4단지(아) 경로당,서울특별시 강서구 등촌동 690번지 
골안말 경로당,서울특별시 강서구 화곡동 865-1번지 
현대APT 경로당,서울특별시 강서구 방화동 793번지 
등촌9종합사회복지관 경로당,서울특별시 강서구 등촌동 704번지 
등촌주공1단지(아)경로당,서울특별시 강서구 등촌동 687번지 
방화12단지아파트 경로당,서울특별시 강서구 방화동 852번지 
태진한솔APT 경로당,서울특별시 강서구 염창동 263번지 
등촌7단지경로당,서울특별시 강서구 등촌동 707번지 
부영아파트경로당,서울특별시 강서구 등촌동 691-3번지 
삼성꽃마을(아)경로당,서울특별시 강서구 방화동 858번지 
금호타운아파트 경로당,서울특별시 강서구 염창동 240-32번지 
길훈아파트 경로당,서울특별시 강서구 염창동 294번지 
코오롱아파트경로당,서울특별시 강서구 등촌동 642번지 
상사경로당,서울특별시 강서구 개화동 230-13번지 
삼성꽃마을아파트경로당,서울특별시 강서구 방화동 858번지 
산우물 경로당,서울특별시 강서구 공항동 2-91번지 
우정경로당,서울특별시 강서구 방화동 839번지 
라인아파트경로당,서울특별시 강서구 등촌동 628-15번지 
장미아파트경로당,서울특별시 강서구 방화동 841번지 
관음삼성아파트 경로당,서울특별시 강서구 염창동 268번지 
연지경로당,서울특별시 강서구 화곡동 1121-19번지 
한보구암아파트경로당,서울특별시 강서구 가양동 1495번지 
건우3차아파트경로당,서울특별시 강서구 방화동 195번지 
등촌6단지(아) 경로당,서울특별시 강서구 등촌동 
등촌5단지(아)경로당,서울특별시 강서구 등촌동 695번지 
방화9단지아파트 경로당,서울특별시 강서구 방화동 807번지 
봉제경로당,서울특별시 강서구 화곡동 산 47-16번지 
염창극동아파트경로당,서울특별시 강서구 염창동 246-23번지 
